# Định dạng: ÂM HÁN VIỆT,THỂ MẬU,NGHĨA TIẾNG VIỆT,NHÓM
# Dấu * = động từ nhóm 1 nhưng hình dạng dễ bị nhầm thành nhóm 2.

# ── Nhóm 1 nhìn hệt nhóm 2 (đuôi ～ります) ───────────────────────────────
QUY,帰ります,về/ trở về,1*
NHẬP,入ります,vào,1*
TẨU,走ります,chạy,1*
THIẾT,切ります,cắt,1*
TRI,知ります,biết,1*
YẾU,要ります,cần,1*
GIẢM,減ります,giảm/ ít đi,1*
HẠN,限ります,giới hạn,1*
HOẠT,滑ります,trượt,1*

# ── Nhóm 2 thật, để đối chiếu ──────────────────────────────────────────
KIẾN,見ます,xem/ nhìn,2
THỰC,食べます,ăn,2
KHỞI,起きます,thức dậy,2
TẨM,寝ます,ngủ,2
GIÁNG,降ります,xuống xe,2
TÍN,信じます,tin tưởng,2

# ── Ngoại lệ thể Te/Ta ─────────────────────────────────────────────────
HÀNH,行きます,đi,1
HỮU,あります,có (đồ vật),1

# ── Nhóm 3 ─────────────────────────────────────────────────────────────
LAI,来ます,đến,3
VI,します,làm,3
MIỄN CƯỠNG,勉強します,học,3
KẾT HÔN,結婚します,kết hôn,3
TÁN BỘ,散歩します,đi dạo,3
TU LÝ,修理します,sửa chữa,3
