# 日本語総まとめ N3 · 語彙 — 料理をしましょう①
# Nguồn: Nihongo_Soumatome_N3-Goi.pdf, trang 14-15
# Định dạng: ÂM HÁN VIỆT,TIẾNG NHẬT (CÁCH ĐỌC),NGHĨA TIẾNG VIỆT
# Cột âm Hán Việt để TRỐNG: sách 総まとめ không chú âm Hán Việt.
# Chú giải tiếng Anh của sách đã bỏ: cột nghĩa chỉ còn tiếng Việt.
,肉じゃが (にくじゃが),món thịt hầm khoai tây
,材料 (ざいりょう),nguyên liệu
,牛肉 (ぎゅうにく),thịt bò
,ジャガイモ,khoai tây
,玉ネギ (たまネギ),hành tây
,調味料 (ちょうみりょう),gia vị
,酒 (さけ),rượu
,しょうゆ,nước tương/ xì dầu
,砂糖 (さとう),đường
,サラダ油 (サラダあぶら),dầu ăn
,酢 (す),giấm
,天ぷら油 (てんぷらあぶら),dầu chiên
,大さじ (おおさじ),thìa canh
,小さじ (こさじ),thìa cà phê
,包丁 (ほうちょう),dao làm bếp
,まな板 (まないた),thớt
,はかり,cân
,カップ,cốc đong
,リットル,lít
,グラム,gam
,夕食のおかず (ゆうしょくのおかず),món ăn bữa tối
,栄養のバランスを考える (えいようのバランスをかんがえる),cân nhắc cân bằng dinh dưỡng
,カロリーが高い食品 (カロリーがたかいしょくひん),thực phẩm nhiều calo
,はかりで量る (はかりではかる),cân bằng cân
,塩を少々入れる (しおをしょうしょういれる),cho một chút muối
,皮をむく (かわをむく),gọt vỏ
,材料を刻む (ざいりょうをきざむ),thái nhỏ nguyên liệu
,大きめに切る (おおきめにきる),cắt to
,3センチ幅に切る (さんセンチはばにきる),cắt bề ngang 3 cm
,みそ汁がぬるくなる (みそしるがぬるくなる),canh miso bị nguội
,ラップをかぶせる,phủ màng bọc thực phẩm
,ラップをかける,phủ màng bọc thực phẩm
,ラップでくるむ,bọc bằng màng bọc thực phẩm
,（アルミ）ホイル,giấy bạc
