# 日本語総まとめ N3 · 語彙 — 料理をしましょう②
# Nguồn: Nihongo_Soumatome_N3-Goi.pdf, trang 16-17
# Định dạng: ÂM HÁN VIỆT,TIẾNG NHẬT (CÁCH ĐỌC),NGHĨA TIẾNG VIỆT
# Cột âm Hán Việt để TRỐNG: sách 総まとめ không chú âm Hán Việt.
# Chú giải tiếng Anh của sách đã bỏ: cột nghĩa chỉ còn tiếng Việt.
,ふた,nắp
,なべ,nồi
,おたま,muôi/ vá
,フライパン,chảo
,フライ返し (フライがえし),sạn lật/ xẻng lật
,炊飯器 (すいはんき),nồi cơm điện
,しゃもじ,muôi xới cơm
,（お）湯を沸かす (ゆをわかす),đun sôi nước
,（お）湯が沸く (ゆがわく),nước sôi
,（お）湯を冷ます (ゆをさます),để nguội nước nóng
,（お）湯が冷める (ゆがさめる),nước nguội đi
,なべを火にかける (なべをひにかける),bắc nồi lên bếp
,ご飯を炊く (ごはんをたく),nấu cơm
,油を熱する (あぶらをねっする),làm nóng dầu
,油で揚げる (あぶらであげる),chiên ngập dầu
,煮る (にる),kho/ ninh
,ゆでる,luộc
,いためる,xào
,蒸す (むす),hấp
,水を切る (みずをきる),để ráo nước
,混ぜる (まぜる),trộn
,こげる,cháy khét
,ひっくり返す (ひっくりかえす),lật lại
,裏返す (うらがえす),lật mặt
,味をつける (あじをつける),nêm nếm
,塩を加える (しおをくわえる),thêm muối
,こしょうを振る (こしょうをふる),rắc tiêu
,味見をする (あじみをする),nếm thử
,味を見る (あじをみる),nếm thử
,味が濃い (あじがこい),đậm vị
,味が薄い (あじがうすい),nhạt vị
,からい,cay/ mặn
,塩からい (しおからい),mặn
,すっぱい,chua
,できあがる,hoàn thành
,できあがり,vừa xong
