# 日本語総まとめ N3 · 語彙 — 掃除をしましょう
# Nguồn: Nihongo_Soumatome_N3-Goi.pdf, trang 18-19
# Định dạng: ÂM HÁN VIỆT,TIẾNG NHẬT (CÁCH ĐỌC),NGHĨA TIẾNG VIỆT
# Cột âm Hán Việt để TRỐNG: sách 総まとめ không chú âm Hán Việt.
# Chú giải tiếng Anh của sách đã bỏ: cột nghĩa chỉ còn tiếng Việt.
,エプロン,tạp dề
,ほうき,chổi
,ちりとり,hót rác
,ぞうきん,giẻ lau
,バケツ,xô
,エプロンをする,đeo tạp dề
,エプロンをかける,đeo tạp dề
,エプロンをつける,đeo tạp dề
,ソファーをどける,dịch ghế sofa ra
,どく,tránh ra/ dịch ra
,部屋を散らかす (へやをちらかす),bày bừa phòng
,部屋が散らかる (へやがちらかる),phòng bừa bộn
,部屋を片づける (へやをかたづける),dọn phòng
,部屋が片づく (へやがかたづく),phòng đã gọn
,ジュースをこぼす,làm đổ nước ngọt
,ジュースがこぼれる,nước ngọt bị đổ
,ほこりがたまる,bụi đọng lại
,ほこりがつもる,bụi phủ dày
,雪がつもる (ゆきがつもる),tuyết phủ
,ほこりを取る (ほこりをとる),phủi bụi
,掃除機をかける (そうじきをかける),hút bụi
,ほうきで掃く (ほうきではく),quét bằng chổi
,水をくむ (みずをくむ),múc/ hứng nước
,ぞうきんをぬらす,làm ướt giẻ lau
,ぞうきんをしぼる,vắt giẻ lau
,床をふく (ゆかをふく),lau sàn
,ふきんで食器をふく (ふきんでしょっきをふく),lau bát đĩa bằng khăn
,台ぶきんでテーブルをふく (だいぶきんでテーブルをふく),lau bàn bằng khăn
,家具をみがく (かぐをみがく),đánh bóng đồ gỗ
,ブラシでこする,cọ bằng bàn chải
,生ゴミ (なまゴミ),rác nhà bếp
,燃えるゴミ (もえるゴミ),rác cháy được
,燃えないゴミ (もえないゴミ),rác không cháy được
,面倒だ (めんどうだ),phiền phức
,面倒くさい (めんどうくさい),ngại/ phiền phức
,スリッパをそろえる,xếp dép cho ngay ngắn
,物置にしまう (ものおきにしまう),cất vào nhà kho
