# 日本語総まとめ N3 · 語彙 — 子どもやペットの世話をしましょう
# Nguồn: Nihongo_Soumatome_N3-Goi.pdf, trang 22-23
# Định dạng: ÂM HÁN VIỆT,TIẾNG NHẬT (CÁCH ĐỌC),NGHĨA TIẾNG VIỆT
# Cột âm Hán Việt để TRỐNG: sách 総まとめ không chú âm Hán Việt.
# Chú giải tiếng Anh của sách đã bỏ: cột nghĩa chỉ còn tiếng Việt.
,かわいらしい,dễ thương
,かわいそうな,tội nghiệp
,行儀がいい (ぎょうぎがいい),ngoan/ lễ phép
,利口な (りこうな),khôn/ thông minh
,かしこい,khôn/ thông minh
,人なつっこい (ひとなつっこい),dễ gần/ quấn người
,わがままな,ích kỷ/ đòi hỏi
,生意気な (なまいきな),xấc xược
,生意気な態度 (なまいきなたいど),thái độ xấc xược
,甘やかす (あまやかす),nuông chiều
,かわいがる,cưng chiều
,おんぶする,cõng
,抱っこする (だっこする),bế/ ẵm
,腕に抱く (うでにだく),ôm trong tay
,ほえる,sủa
,しっぽを振る (しっぽをふる),vẫy đuôi
,人になれる (ひとになれる),quen người
,うなる,gầm gừ
,穴をほる (あなをほる),đào hố
,穴をうめる (あなをうめる),lấp hố
,育児 (いくじ),việc nuôi con
,子育て (こそだて),việc nuôi con
,幼児 (ようじ),trẻ nhỏ
,幼い子ども (おさないこども),trẻ nhỏ
,子どもが成長する (こどもがせいちょうする),trẻ lớn lên
,わがままに育つ (わがままにそだつ),lớn lên hư hỏng
,えらい,giỏi/ đáng khen
,頭をなでる (あたまをなでる),xoa đầu
,尻をたたく (しりをたたく),phát vào mông
,尻をぶつ (しりをぶつ),phát vào mông
,いたずらをする,nghịch ngợm
,いたずらな,tinh nghịch
,手をつなぐ (てをつなぐ),nắm tay
,はなす,buông ra
,子どもが迷子になる (こどもがまいごになる),trẻ bị lạc
,子どもが母親の後をついていく (こどもがははおやのあとをついていく),trẻ đi theo sau mẹ
,犬を飼う (いぬをかう),nuôi chó
,散歩に連れていく (さんぽにつれていく),dắt đi dạo
,犬にえさをやる (いぬにえさをやる),cho chó ăn
,犬にえさを与える (いぬにえさをあたえる),cho chó ăn
